Mã trường,Mã ngành,Tên ngành,Tổ hợp môn năm 2019,Tổ hợp môn năm 2020,Tổ hợp môn năm 2021,Tổ hợp môn năm 2022,Tổ hợp môn năm 2023,Tổ hợp môn năm 2024,Điểm chuẩn năm 2019,Điểm chuẩn năm 2020,Điểm chuẩn năm 2021,Điểm chuẩn năm 2022,Điểm chuẩn năm 2023,Điểm chuẩn năm 2024
BMU,7720101,Y khoa,A00;A02;B00;B08;D08,A00;A02;B00;B08;D34,A00;A02;B00;B08;D08,A00;A02;B00;B08,A00;A02;B00;B08,A00;A02;B00;B08,21.0,23.0,24.0,23.0,22.75,24.0
BMU,7720201,Dược học,A00;B00;D07,A00;B00;D07;D24,A00;B00;D07,A00;B00;D07,A00;B00;D07,B00;A00;D07,20.0,21.0,21.0,21.0,21.0,21.0
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,22.7,25.6,26.55,26.2,26.33,25.94
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,22.55,25.75,26.35,26.45,25.89,25.75
BVH,7340101,Quản trị kinh doanh,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,21.65,24.6,25.9,25.55,25.15,25.17
BVH,7340115,Marketing,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,22.35,25.5,26.45,26.1,25.8,25.85
BVH,7340122,Thương mại điện tử,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,22.45,25.7,26.5,26.35,26.2,26.09
BVH,7340301,Kế toán,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,21.35,24.35,25.75,25.35,25.05,25.29
BVH,7480201,Công nghệ thông tin,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,24.1,26.65,26.9,27.25,26.59,26.4
BVH,7480202,An toàn thông tin,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,23.35,26.25,26.55,26.7,26.04,25.85
BVH,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,21.05,24.75,25.35,25.1,25.01,25.46
BVH,7520207,Kỹ thuật điện tử - viễn thông,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,21.95,25.25,25.65,25.6,25.68,25.75
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,21.0,23.8,25.05,24.25,24.05,23.95
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,19.7,23.5,25.0,21.7,22.8,18.4
BVS,7340115,Marketing,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,21.2,24.6,25.65,24.85,24.1,24.24
